
starting calculations for phase 1
-0.4000000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3900000000, 1.0000000000, Maximum iterations reached in field optimization, time: 17
-0.3800000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3700000000, 1.0000000000, Maximum iterations reached in field optimization, time: 8
-0.3600000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3500000000, 1.0000000000, Maximum iterations reached in field optimization, time: 7
-0.3400000000, 1.0000000000, Maximum iterations reached in field optimization, time: 10
-0.3300000000, 1.0000000000, Maximum iterations reached in field optimization, time: 5
-0.3200000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3100000000, 1.0000000000, Maximum iterations reached in field optimization, time: 4
-0.3000000000, 1.0000000000, maximum iterations reached, time: 31
-0.2900000000, 1.0000000000, maximum iterations reached, time: 23
-0.2800000000, 1.0000000000, maximum iterations reached, time: 17
0.2400000000, 1.0000000000, 0.0000000030, 1, time: 0
0.2500000000, 1.0000000000, 0.0000000030, 1, time: 0

starting calculations for phase 5
-0.1000000000, 1.0000000000, -0.1102213584, 6, time: 18
-0.1100000000, 1.0000000000, -0.1167371040, 2, time: 4
-0.1200000000, 1.0000000000, -0.1234193653, 2, time: 4
-0.1300000000, 1.0000000000, -0.1302684556, 3, time: 5
-0.1400000000, 1.0000000000, -0.1372847030, 3, time: 5
-0.1500000000, 1.0000000000, -0.1444684584, 4, time: 5
-0.1600000000, 1.0000000000, -0.1518200816, 4, time: 5
-0.1700000000, 1.0000000000, -0.1593399542, 3, time: 5
-0.1800000000, 1.0000000000, -0.1670284604, 4, time: 5
-0.1900000000, 1.0000000000, -0.1748860058, 3, time: 5
-0.2000000000, 1.0000000000, -0.1829129910, 4, time: 6
-0.2100000000, 1.0000000000, -0.1911098404, 4, time: 5
-0.2200000000, 1.0000000000, -0.1994769769, 3, time: 5
-0.2300000000, 1.0000000000, -0.2080148305, 3, time: 5
-0.2400000000, 1.0000000000, -0.2167238396, 3, time: 6
-0.2500000000, 1.0000000000, -0.2256044464, 3, time: 6
-0.2600000000, 1.0000000000, -0.2346570983, 3, time: 6
-0.2700000000, 1.0000000000, -0.2438822387, 3, time: 5
-0.2800000000, 1.0000000000, -0.2532803413, 6, time: 36
-0.2900000000, 1.0000000000, -0.2628518446, 5, time: 9
-0.3000000000, 1.0000000000, -0.2725972134, 3, time: 5
-0.3100000000, 1.0000000000, -0.2825169101, 3, time: 5
-0.3200000000, 1.0000000000, -0.2926114008, 5, time: 8
-0.3300000000, 1.0000000000, -0.3028811488, 4, time: 6
-0.3400000000, 1.0000000000, -0.3133266185, 4, time: 6
-0.3500000000, 1.0000000000, -0.3239482774, 3, time: 9
-0.3600000000, 1.0000000000, -0.3347465944, 3, time: 8
-0.3700000000, 1.0000000000, -0.3457220375, 5, time: 7
-0.3800000000, 1.0000000000, -0.3568750728, 5, time: 7
-0.3900000000, 1.0000000000, -0.3682061677, 3, time: 7

starting calculations for phase 5
